manual_code,section_code,section_title,orig_start_page,orig_end_page,mainpdf_start_page,mainpdf_end_page,chapter_pdf_filename,chapter_total_pages,offset_orig_to_mainpdf,offset_orig_to_chapter,calc_mainpdf_page_formula,calc_chapter_page_formula,anchor_expected_heading_p1,anchor_observed_heading_p1,status_p1,anchor_expected_heading_mid,anchor_observed_heading_mid,status_mid,anchor_expected_heading_last,anchor_observed_heading_last,status_last,notes
U435,01,General Information,5,16,TBD,TBD,U435_01_General.pdf,12,TBD,-4,P + TBD,P - 4,general information,VERIFY,PENDING,climbing ability,VERIFY,PENDING,general specifications,VERIFY,PENDING,First chapter - verify main PDF mapping
U435,02,Engine Overview,17,82,TBD,TBD,U435_02_Engine_Overview.pdf,66,TBD,-16,P + TBD,P - 16,engine om366,VERIFY,PENDING,cylinder head,VERIFY,PENDING,flywheel,VERIFY,PENDING,Large chapter - 66 pages
U435,07,Fuel System,85,118,TBD,TBD,U435_07_Fuel_System.pdf,34,TBD,-84,P + TBD,P - 84,fuel system,VERIFY,PENDING,fuel filter,VERIFY,PENDING,cold start system,VERIFY,PENDING,
UNKNOWN,09,Air Filter System,121,133,TBD,TBD,09_Air_Filter.pdf,13,TBD,-120,P + TBD,P - 120,air intake system,VERIFY,PENDING,NULL,VERIFY,PENDING,boost pressure,VERIFY,PENDING,Missing midpoint term
U435,08,Exhaust System,136,144,TBD,TBD,U435_08_Exhaust_System.pdf,9,TBD,-135,P + TBD,P - 135,exhaust system,VERIFY,PENDING,muffler,VERIFY,PENDING,exhaust brake,VERIFY,PENDING,
U435,05,Lubrication System,146,156,TBD,TBD,U435_05_Lubrication.pdf,11,TBD,-145,P + TBD,P - 145,engine lubrication,VERIFY,PENDING,NULL,VERIFY,PENDING,oil pan,VERIFY,PENDING,OIL CHANGE ISSUE - Page 152→7 shows starter/generator
U435,06,Cooling System,159,162,TBD,TBD,U435_06_Cooling_System.pdf,4,TBD,-158,P + TBD,P - 158,cooling system,VERIFY,PENDING,radiator,VERIFY,PENDING,thermostat,VERIFY,PENDING,Small chapter - only 4 pages
UNKNOWN,25,Clutch System,163,182,TBD,TBD,25_Clutch.pdf,20,TBD,-162,P + TBD,P - 162,clutch,VERIFY,PENDING,NULL,VERIFY,PENDING,clutch bleeding,VERIFY,PENDING,Missing midpoint term
U435,09,Manual Transmission,183,270,TBD,TBD,U435_09_Manual_Trans.pdf,88,TBD,-182,P + TBD,P - 182,transmission,VERIFY,PENDING,NULL,VERIFY,PENDING,transmission oil,VERIFY,PENDING,Large chapter - 88 pages
U435,10,Transfer Case,281,330,TBD,TBD,U435_10_Transfer_Case.pdf,50,TBD,-280,P + TBD,P - 280,transfer case,VERIFY,PENDING,NULL,VERIFY,PENDING,differential lock,VERIFY,PENDING,
U435,11,PTO Systems,341,355,TBD,TBD,U435_11_PTO_Systems.pdf,15,TBD,-340,P + TBD,P - 340,power take off,VERIFY,PENDING,NULL,VERIFY,PENDING,pto speeds,VERIFY,PENDING,
UNKNOWN,40,Wheels & Prop Shafts,361,675,TBD,TBD,40_Wheels_Prop_Shafts.pdf,15,TBD,-360,P + TBD,P - 360,driveshaft,VERIFY,PENDING,NULL,VERIFY,PENDING,wheel nuts torque,VERIFY,PENDING,MAJOR ISSUE - orig range 361-675 but only 15 PDF pages
UNKNOWN,33,Front Axle,381,410,TBD,TBD,33_Front_Axle.pdf,30,TBD,-380,P + TBD,P - 380,front differential,VERIFY,PENDING,NULL,VERIFY,PENDING,front diff oil,VERIFY,PENDING,OVERLAPS with chapter 40 - both start before 381
UNKNOWN,35,Rear Axle,421,450,TBD,TBD,35_Rear_Axle.pdf,30,TBD,-420,P + TBD,P - 420,rear differential,VERIFY,PENDING,NULL,VERIFY,PENDING,rear diff oil,VERIFY,PENDING,
UNKNOWN,29,Pedal Linkage,450,464,TBD,TBD,29_Pedal_Linkage.pdf,3,TBD,-449,P + TBD,P - 449,brake pedal,VERIFY,PENDING,NULL,VERIFY,PENDING,linkage adjustment,VERIFY,PENDING,OVERLAP - same start as rear axle end
U435,12,Front Axle Drive,468,515,TBD,TBD,U435_12_Front_Axle_Drive.pdf,48,TBD,-467,P + TBD,P - 467,front axle,VERIFY,PENDING,NULL,VERIFY,PENDING,front axle shafts,VERIFY,PENDING,
U435,13,Rear Axle Drive,521,550,TBD,TBD,U435_13_Rear_Axle_Drive.pdf,30,TBD,-520,P + TBD,P - 520,rear axle,VERIFY,PENDING,NULL,VERIFY,PENDING,rear axle shafts,VERIFY,PENDING,
U435,19,Front Wheel Hubs,555,568,TBD,TBD,U435_19_Wheel_Hub_Front.pdf,14,TBD,-554,P + TBD,P - 554,front wheel hub drive,VERIFY,PENDING,front hub reduction,VERIFY,PENDING,front hub torque specs,VERIFY,PENDING,Portal hub seals working correctly
UNKNOWN,32,Front Suspension,569,595,TBD,TBD,32_Suspension.pdf,27,TBD,-568,P + TBD,P - 568,front suspension,VERIFY,PENDING,NULL,VERIFY,PENDING,front stabilizer bar,VERIFY,PENDING,
U435,17,Rear Suspension,601,640,TBD,TBD,U435_17_Suspension.pdf,40,TBD,-600,P + TBD,P - 600,rear suspension,VERIFY,PENDING,NULL,VERIFY,PENDING,torque tube,VERIFY,PENDING,
U435,22,Rear Wheel Hubs,651,660,TBD,TBD,U435_22_Wheel_Hub_Rear.pdf,10,TBD,-650,P + TBD,P - 650,rear wheel hub drive,VERIFY,PENDING,rear portal gears,VERIFY,PENDING,rear hub torque specs,VERIFY,PENDING,Portal hub seals working correctly
U435,23,Service Brakes,681,770,TBD,TBD,U435_23_Service_Brakes.pdf,90,TBD,-680,P + TBD,P - 680,brake system,VERIFY,PENDING,NULL,VERIFY,PENDING,brake discs,VERIFY,PENDING,Large chapter - 90 pages
U435,24,Parking Brake,781,795,TBD,TBD,U435_24_Parking_Brake.pdf,15,TBD,-780,P + TBD,P - 780,parking brake,VERIFY,PENDING,NULL,VERIFY,PENDING,parking brake drum,VERIFY,PENDING,
U435,25,Main Hydraulics,801,840,TBD,TBD,U435_25_Main_Hydraulics.pdf,40,TBD,-800,P + TBD,P - 800,hydraulic system,VERIFY,PENDING,NULL,VERIFY,PENDING,hydraulic oil,VERIFY,PENDING,
UNKNOWN,43,Pneumatic Brakes,851,1149,TBD,TBD,43_Brakes_Pneumatic.pdf,40,TBD,-850,P + TBD,P - 850,pneumatic system,VERIFY,PENDING,NULL,VERIFY,PENDING,slack adjusters,VERIFY,PENDING,MAJOR ISSUE - orig range 851-1149 (298 pages) but only 40 PDF pages
U435,18,Steering System,911,985,TBD,TBD,U435_18_Steering.pdf,20,TBD,-910,P + TBD,P - 910,steering preparation,VERIFY,PENDING,NULL,VERIFY,PENDING,pump specifications,VERIFY,PENDING,OVERLAPS with pneumatic brakes
UNKNOWN,46,Steering LS7F,948,965,TBD,TBD,46_Steering.pdf,18,TBD,-947,P + TBD,P - 947,steering ls7f,VERIFY,PENDING,NULL,VERIFY,PENDING,steering damper,VERIFY,PENDING,OVERLAPS with U435_18
U435,14,Electrical Wiring,990,1022,TBD,TBD,U435_14_Wiring.pdf,33,TBD,-989,P + TBD,P - 989,electrical system 54.7,VERIFY,PENDING,NULL,VERIFY,PENDING,warning lights,VERIFY,PENDING,
U435,32,Advanced Electrical,1026,1039,TBD,TBD,U435_32_Advanced_Electrical.pdf,14,TBD,-1025,P + TBD,P - 1025,electrical harness,VERIFY,PENDING,wire colors,VERIFY,PENDING,harness protection,VERIFY,PENDING,
U435,29,HVAC Heating,1041,1065,TBD,TBD,U435_29_HVAC_Heating.pdf,25,TBD,-1040,P + TBD,P - 1040,heating system,VERIFY,PENDING,NULL,VERIFY,PENDING,defroster,VERIFY,PENDING,
U435,27,Cab Structure,1071,1098,TBD,TBD,U435_27_Cab_Structure.pdf,28,TBD,-1070,P + TBD,P - 1070,body components,VERIFY,PENDING,NULL,VERIFY,PENDING,hood,VERIFY,PENDING,
