manual_code,section_code,section_title,orig_start_page,orig_end_page,chapter_pdf_filename,chapter_total_pages,edition_id,source_pdf_sha256,source_pdf_page_count,anchor_p1_expected,anchor_p1_text_sha256,anchor_p1_image_phash,anchor_mid_expected,anchor_mid_text_sha256,anchor_mid_image_phash,anchor_last_expected,anchor_last_text_sha256,anchor_last_image_phash,page_numbering_type,blank_page_list,rotation_angles,validation_status
U435,01,General Information,5,16,U435_01_General.pdf,12,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,general information,TBD,TBD,climbing ability,TBD,TBD,general specifications,TBD,TBD,arabic,,0,PENDING
U435,02,Engine Overview,17,82,U435_02_Engine_Overview.pdf,66,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,engine om366,TBD,TBD,cylinder head,TBD,TBD,flywheel,TBD,TBD,arabic,,0,PENDING
U435,07,Fuel System,85,118,U435_07_Fuel_System.pdf,34,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,fuel system,TBD,TBD,fuel filter,TBD,TBD,cold start system,TBD,TBD,arabic,,0,PENDING
U435,09,Air Filter System,121,133,09_Air_Filter.pdf,13,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,air intake system,TBD,TBD,air filter maintenance,TBD,TBD,boost pressure,TBD,TBD,arabic,,0,PENDING
U435,08,Exhaust System,136,144,U435_08_Exhaust_System.pdf,9,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,exhaust system,TBD,TBD,muffler,TBD,TBD,exhaust brake,TBD,TBD,arabic,,0,PENDING
U435,05,Lubrication System,146,156,U435_05_Lubrication.pdf,11,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,engine lubrication,TBD,TBD,oil pump,TBD,TBD,oil pan,TBD,TBD,arabic,,0,PENDING
U435,06,Cooling System,159,162,U435_06_Cooling_System.pdf,4,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,cooling system,TBD,TBD,radiator,TBD,TBD,thermostat,TBD,TBD,arabic,,0,CRITICAL
U435,25,Clutch System,163,182,25_Clutch.pdf,20,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,clutch,TBD,TBD,clutch adjustment,TBD,TBD,clutch bleeding,TBD,TBD,arabic,,0,PENDING
U435,09,Manual Transmission,183,270,U435_09_Manual_Trans.pdf,88,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,transmission,TBD,TBD,gear selection,TBD,TBD,transmission oil,TBD,TBD,arabic,,0,PENDING
U435,10,Transfer Case,281,330,U435_10_Transfer_Case.pdf,50,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,transfer case,TBD,TBD,transfer case operation,TBD,TBD,differential lock,TBD,TBD,arabic,,0,PENDING
U435,11,PTO Systems,341,355,U435_11_PTO_Systems.pdf,15,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,power take off,TBD,TBD,pto engagement,TBD,TBD,pto speeds,TBD,TBD,arabic,,0,PENDING
U435,40,Wheels Prop Shafts,361,375,40_Wheels_Prop_Shafts.pdf,15,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,driveshaft,TBD,TBD,propeller shaft,TBD,TBD,wheel nuts torque,TBD,TBD,arabic,,0,CRITICAL
U435,33,Front Axle,381,410,33_Front_Axle.pdf,30,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,front differential,TBD,TBD,front axle service,TBD,TBD,front diff oil,TBD,TBD,arabic,,0,PENDING
U435,35,Rear Axle,421,450,35_Rear_Axle.pdf,30,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,rear differential,TBD,TBD,rear axle service,TBD,TBD,rear diff oil,TBD,TBD,arabic,,0,PENDING
U435,29,Pedal Linkage,450,464,29_Pedal_Linkage.pdf,15,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,brake pedal,TBD,TBD,pedal adjustment,TBD,TBD,linkage adjustment,TBD,TBD,arabic,,0,PENDING
U435,12,Front Axle Drive,468,515,U435_12_Front_Axle_Drive.pdf,48,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,front axle,TBD,TBD,front drive components,TBD,TBD,front axle shafts,TBD,TBD,arabic,,0,PENDING
U435,13,Rear Axle Drive,521,550,U435_13_Rear_Axle_Drive.pdf,30,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,rear axle,TBD,TBD,rear drive components,TBD,TBD,rear axle shafts,TBD,TBD,arabic,,0,PENDING
U435,19,Front Wheel Hubs,555,568,U435_19_Wheel_Hub_Front.pdf,14,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,front wheel hub drive,TBD,TBD,front hub reduction,TBD,TBD,front hub torque specs,TBD,TBD,arabic,,0,PENDING
U435,32,Front Suspension,569,595,32_Suspension.pdf,27,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,front suspension,TBD,TBD,suspension components,TBD,TBD,front stabilizer bar,TBD,TBD,arabic,,0,PENDING
U435,17,Rear Suspension,601,640,U435_17_Suspension.pdf,40,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,rear suspension,TBD,TBD,suspension adjustment,TBD,TBD,torque tube,TBD,TBD,arabic,,0,PENDING
U435,22,Rear Wheel Hubs,651,660,U435_22_Wheel_Hub_Rear.pdf,10,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,rear wheel hub drive,TBD,TBD,rear portal gears,TBD,TBD,rear hub torque specs,TBD,TBD,arabic,,0,PENDING
