manual_code,section_code,section_title,orig_start_page,orig_end_page,chapter_pdf_filename,chapter_total_pages,edition_id,source_pdf_sha256,source_pdf_page_count,anchor_p1_expected,anchor_p1_text_sha256,anchor_p1_image_phash,anchor_mid_expected,anchor_mid_text_sha256,anchor_mid_image_phash,anchor_last_expected,anchor_last_text_sha256,anchor_last_image_phash,page_numbering_type,blank_page_list,rotation_angles,validation_status,anchor_p1_actual,anchor_mid_actual,anchor_last_actual,mid_page_num
U435,01,General Information,5,16,U435_01_General.pdf,12,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,general information,98c9cbf866b892dacbba858accf01f99fc29893ea2c52bbbe760260e50b5d3bc,TBD,climbing ability,258ace6c001e4e5b04cf1ac37eb2f6823359aca673defb2171797fa094d24a1b,TBD,general specifications,c4e95cb36f459f2dec559796f4d292322b3af3e5f5049902a435cb6f188391f6,TBD,arabic,,0,PENDING,"·~ . . •""' ... > .. .. : . ·¡ · contents .. chapter ., 1 general lnstallation survey · general view ","general 00 . general view ., 435.115 ·uro-o129 435.115 ukd 30 402 21 42..03 1.1/5","e ;o;: o (.o) o ~ ~ ~ ~ 1\) ' ~ ..,¿ ~ e o 8 - -------------~-,.....;.;_~·--1 ~~~---------3250------",10
U435,02,Engine Overview,17,82,U435_02_Engine_Overview.pdf,66,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,engine om366,9c4ae8b7f5f7504179144b51cddcbeb6c610ce71d222afb80833d1403ae9997f,TBD,cylinder head,988a21d5254c204359780e84d620a4b144c92732660d5eec357f3e71e1def1eb,TBD,flywheel,145246f4a92401fc72b46c7ecc181a4e6a17ebecac4110ed615cfaa42eb4f959,TBD,arabic,,0,PENDING,"'· .:.:·· . ~. \ 1 ·,•' · '··. ·:.o ,·. maximum speeds 435.115/.117 total . .. '. axle ·'· maximum s","· 18 remove·clutch slave cylinder, do nót detach line . . ' •., .. 19 detach starter wiring harness.","p1.8 ·· remachiníng baslc bore for valve seat rings , 352/352 a 6.5/2 7 calculate adjustment ""2"": ..",49
U435,07,Fuel System,85,118,U435_07_Fuel_System.pdf,34,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,fuel system,fab1d566157e41a4695b71f852dfd9d761d1a1979e3f504cee5f39fbf72db013,TBD,fuel filter,d1814bbd1d53df3c772cf46b917b1b9d66f466e8b4a908a1b520cec4f7303a71,TBD,cold start system,fdea37faec458e38d12df974e52f566873afa633688af18e841588dc390dd8e7,TBD,arabic,,0,PENDING,air filter and turbocharger 09 survey version air filter 09.8 turbocharger 3 lks 09.13 turbocharger ,contents chapter general 1 nstallation survey settings special tools necessary materials tightening ,general 13.9 lnstallation survey chassis air compressor model sales manufacturer version lnstallatio,101
U435,09,Air Filter System,121,133,09_Air_Filter.pdf,13,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,air intake system,833066d3151130dd94cba78bbbcfb06f66f8c8ce026b902c2e6d5adeb5056921,TBD,air filter maintenance,5174b48d9c549112c9d049c7236a67934ef0e5a6609269d4f1d9effbc1bb1578,TBD,boost pressure,fa242e220984233ca0a5c852e396fd2b21cef307c08e814a748c03fcf96a4736,TBD,arabic,,0,PENDING,"contents chapter 1 general v-belt arrangement tightening torques 2 tightening, exchanging v-belts v ","v-belt, hydraulic pump prop up engine hood and remove front panel. 2 check v-belt for condition and ",general 15.8 3521 352 a exploded view 36 ~ 33 8~~~ (\is) ~ \j 2s uz 15- 0018 34 starter and generato,127
U435,08,Exhaust System,136,144,U435_08_Exhaust_System.pdf,9,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,exhaust system,d8c9702508864d4c0f67319d2304c0cd48b86244fdafbf21c05a583a64abddd5,TBD,muffler,ba0fdccdb6f62178924ae99d7d4cbb65aea9cabec83f56f31c3a7e479cf2af37,TBD,exhaust brake,cea5487af4475c86bb76090c4d2a4a2623013561d25d86605f47c17e0fea68f0,TBD,arabic,,0,PENDING,"replacement remove starter, referring to 3.1/1. 2 unscrew and remove cover. 3 check carbon brushes f",exploded view j .. 68 ~ ffil7o ®72 10 95a oil pump 10 oil pump 27 body 36 bolt 55 bolt 60 oil pump s,5 lightly grease new gasket and attach to mating surface on the crankcase. note: filter housing gask,140
U435,05,Lubrication System,146,156,U435_05_Lubrication.pdf,11,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,engine lubrication,fedb3d8f5491a0533b5cc3989b6482dbbc47edde865437ea0fca7f15a23d148c,TBD,oil pump,773b31fa746bfa0fa67053f4990c3dae0b6205f295311c7ddde61ce4b31c2c5d,TBD,oil pan,266c4f57f2daf0001ee407aa9ef6400dc2125b4535769816c52f31562b82405f,TBD,arabic,,0,PENDING,"removal remove oil pan, referring to 2.1/ 1. :> remove oil pump fastening bolt and take oil pump out",fitting note: sequence of operation is identical for all en- gine models. fitted on engine model 353,"8 lnsert inner stud for starter mounting. tighteni ng torque, see 1.2/1. 9 fit starter with sealant ",151
U435,06,Cooling System,159,162,U435_06_Cooling_System.pdf,4,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,cooling system,a7b30dde08cb7a151a1b15f306e1a06b58d90afdac5404b5fb96c5d06579eac1,TBD,radiator,aba0cead2f3bab188e660f1d752214c7836472e871cbd969f1106c7a989bf7ba,TBD,thermostat,870c0c74984b19f937fba3704998bd4cdbf51addb0f04804aed925be90aea19d,TBD,arabic,,0,CRITICAL,"contents chapter 1 general technical data, coolant pump sectional view technical data, coolant therm",technical data coolant pump pump shaft dia. shaft día. for hub bore dia. in hub hub día. for sealing,"adjustment check ma in clutch adjustment. referri ng to 1 .3/1. 2 lf necessary, correct adjustment a",160
U435,25,Clutch System,163,182,25_Clutch.pdf,20,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,clutch,ec658005781e4c1d604dd426b05533afdd2f9dbe540011787128e4fdde99bec1,TBD,clutch adjustment,8fe8495c16ab54ff4523fbeed98414a1b06a1e882fc8820373f553e2326b0d84,TBD,clutch bleeding,039c727173b366ba1c18f9eee60d0598cec9fe1e11edc31448a570cfdb93be9b,TBD,arabic,,0,PENDING,transmission 26 survey version m a in transmission 717.901/900 26.13 special drive pto transmission ,"checking the cooling system for leakage 20.8 352/352 a -- . checking for leakage -~~~~1 .. ·-. ""'7 .",25.10 removal and installation of clutch gfm 330 k/gmf 330 2.1/2 5 unscrew and detach clutch pressur,172
U435,09,Manual Transmission,183,270,U435_09_Manual_Trans.pdf,88,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,transmission,29a3c1dda9b4a31e93a9b0d008979c122b9fc85ce981683067b1060810188f2f,TBD,gear selection,b5a26429294ab21b4472ee42b7027e0f48e9739e55219fb6a7e0c8482a9b9aa9,TBD,transmission oil,b322f30f45533eca981b101d4475366ed38a3ee31720ca55eebaedb9331148f8,TBD,arabic,,0,PENDING,"4 attach clutch casing with sealant no. 6, in- serting and tightening bolts with locking fluid no. 7","general 26.13 exploded view ""~~.· el- 343 332 ~ 304 ~ 5 @~ o ltfos 334 ® q;:;> e 310 340 937 'ijj 57",26.13 disassembling main transmission 717.9 sa 35 977 3.3/2 disassembling transfer box detach transf,226
U435,10,Transfer Case,281,330,U435_10_Transfer_Case.pdf,50,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,transfer case,d249ccad3de9027aaed4d95aebf70f23e8daf5b3d480a73929333797c2a1efb0,TBD,transfer case operation,e1f9b96ad569a666d960318aa9feadc5c5969fa905632d604fe41770e75b2850,TBD,differential lock,dc765c26d54b5f99fef9e011e98cb544d6ee3102315301ed39b5b98fe8a19828,TBD,arabic,,0,PENDING,26.13 disassembly of main transmission 717.9 sa 35 977 ur26- 0852 3.6/4 21 remove main shaft. 22 dis,assembly of main transmission 26.13 10 lnstall shift cylinder. lnstallatíon of front axle take-off 1,26.13 adjusting shift lever 717.901 sa 35 977 12.1/2 2 move shift lever to centre position and ralea,305
