id,manual_type,part_number,slug,title,start_page,end_page,page_count
1,workshop,1,01_General,General Information,5,16,12
2,workshop,2,02_Engine_Overview,Engine Overview,17,50,34
3,workshop,3,03_Cylinder_Head,Cylinder Head System,51,88,38
4,workshop,4,04_Engine_Block,Engine Block System,89,126,38
5,workshop,5,05_Lubrication,Engine Lubrication,127,144,18
6,workshop,6,06_Cooling_System,Cooling System,145,173,18
7,workshop,7,07_Fuel_System,Fuel System,163,200,38
8,workshop,8,08_Exhaust_System,Exhaust System,201,214,14
9,workshop,9,09_Manual_Trans,Manual Transmission,215,258,44
10,workshop,10,10_Transfer_Case,Transfer Case,259,292,34
11,workshop,11,11_PTO_Systems,PTO Systems,293,326,34
12,workshop,12,12_Front_Axle_Drive,Front Axle Drivetrain,327,364,38
13,workshop,13,13_Rear_Axle_Drive,Rear Axle Drivetrain,365,402,38
14,workshop,14,14_Wiring,Electrical Wiring,403,440,38
15,workshop,15,15_Instruments,Instruments Dashboard,441,467,27
16,workshop,16,16_Frame,Chassis Frame,468,484,17
17,workshop,17,17_Suspension,Chassis Suspension,485,518,34
18,workshop,18,18_Steering,Chassis Steering,519,554,36
19,workshop,19,19_Wheel_Hub_Front,Front Wheel Hub Drive,555,586,32
20,workshop,20,20_Hub_Components,Hub Components,587,614,28
21,workshop,21,21_Hub_Maintenance,Hub Maintenance,615,650,36
22,workshop,22,22_Wheel_Hub_Rear,Rear Wheel Hub Drive,651,686,36
23,workshop,23,23_Service_Brakes,Service Brakes,687,722,36
24,workshop,24,24_Parking_Brake,Parking Brake,723,758,36
25,workshop,25,25_Main_Hydraulics,Main Hydraulic System,759,794,36
26,workshop,26,26_Aux_Hydraulics,Auxiliary Hydraulic System,795,830,36
27,workshop,27,27_Cab_Structure,Cab Structure,831,866,36
28,workshop,28,28_Doors_Windows,Doors and Windows,867,902,36
29,workshop,29,29_HVAC_Heating,HVAC Heating System,903,938,36
30,workshop,30,30_Lighting,Lighting System,939,974,36
31,workshop,31,31_Special_Equipment,Special Equipment,975,1016,42
32,workshop,32,32_Advanced_Electrical,Advanced Electrical SA35,1017,1030,14
33,workshop,33,33_Box_Electrical,Box-Type Body Electrical,1031,1036,6
34,workshop,34,34_PTO_Shafts,PTO Shafts Assembly,1037,1041,5
35,workshop,35,35_Hydraulic_Advanced,Advanced Hydraulic System,1042,1051,10
36,workshop,36,36_Hydrostat_Trans,Hydrostat Transmission,1052,1074,23
37,workshop,37,37_Driver_Cab_Tilt,Driver Cab Tilting,1075,1094,20
38,workshop,38,38_Box_Body_System,Box-Type Body System,1095,1123,29
39,workshop,39,39_Headlight_System,Headlight System,1124,1139,16
40,workshop,40,40_Heating_Basic,Basic Heating System,1140,1151,12
41,workshop,41,41_Heater_Eberspacher,Auxiliary Heater Eberspacher,1152,1185,34
